№,,Раздел/Категория,Название статьи,Ссылка,Не показывать,Текст,Картинка,Приоритет,Коммент
7,,Управление Страницей бизнеса,Управление и безопасность,vk.com/@-170652532-upravlenie-stranicei,,,4,,
8,,Управление Страницей бизнеса,Дополнительные настройки,vk.com/@-170652532-dopolnitelnye-nastroiki-stranici-biznesa,,,4,,
9,,Управление Страницей бизнеса,Подключение приложений,vk.com/@-170652532-podkluchenie-prilozhenii,,,4,,
10,,Управление Страницей бизнеса,Публикация контента,vk.com/@-170652532-publikaciya-kontenta,,,1,,
11,,Управление Страницей бизнеса,Статистика,vk.com/@-170652532-statistika,,,4,,
12,,Управление Страницей бизнеса,Автоматизация,vk.com/@-170652532-avtomatizaciya,,,4,,
13,,Управление Страницей бизнеса,VK Admin,vk.com/@-170652532-vk-admin,,,4,,
64,,Управление Страницей бизнеса,Статистика записей,vk.com/@-170652532-zapisi,Да,,4,,
65,,Управление Страницей бизнеса,Статистика по охвату,vk.com/@-170652532-ohvat,Да,,4,,
66,,Управление Страницей бизнеса,Статистика по активностям,vk.com/@-170652532-aktivnost,Да,,4,,
67,,Управление Страницей бизнеса,Статистика по сообщениям,vk.com/@-170652532-soobscheniya-soobschestv,Да,,1,,
68,,Управление Страницей бизнеса,Статистика по посещениям,vk.com/@-170652532-poseschaemost,Да,,1,,
15,,Сообщения для бизнеса,Что это такое?,vk.com/@-170652532-soobscheniya-dlya-biznesa,,,4,,
16,,Сообщения для бизнеса,Подключение и настройка,vk.com/@-170652532-podkluchenie-i-nastroika,,,4,,
17,,Сообщения для бизнеса,Онлайн-статус,vk.com/@-170652532-online-status,,,4,,
18,,Сообщения для бизнеса,Управление,vk.com/@-170652532-upravlenie,,,4,,
19,,Сообщения для бизнеса,Виджеты и чат-боты,vk.com/@-170652532-vidzhety-i-chat-boty,,,4,,
20,,Сообщения для бизнеса,Работа с комментариями,vk.com/@-170652532-rabota-s-kommentariyami,,,4,,
21,,Сообщения для бизнеса,Советы,vk.com/@-170652532-sovety,,,4,,
1,,Создание Страницы бизнеса,С чего начать?,vk.com/@-170652532-s-chego-nachat-stranica,Да,,4,,
2,,Создание Страницы бизнеса,"Создание, выбор типа и тематики",vk.com/@-170652532-sozdanie-vybor-tipa-i-tematiki,,,4,,
3,,Создание Страницы бизнеса,Основная информация,vk.com/@-170652532-osnovnaya-informaciya,,,4,,
4,,Создание Страницы бизнеса,Дополнительная информация,vk.com/@-170652532-dopolnitelnaya-informaciya,,,4,,
5,,Создание Страницы бизнеса,Доступные разделы,vk.com/@-170652532-dostupnye-razdely,,,4,,
6,,Создание Страницы бизнеса,Основные правила,vk.com/@-170652532-osnovnye-pravila,,,4,,
32,,Решения для бизнеса,Приложения для страниц,vk.com/@-170652532-prilozheniya-dlya-stranic,,,4,,
33,,Решения для бизнеса,Продажа билетов,vk.com/@-170652532-prodazha-biletov,,,,,
34,,Решения для бизнеса,Запись на услуги,vk.com/@-170652532-zapis-na-uslugi,,,,,
35,,Решения для бизнеса,Рассылки,vk.com/@-170652532-rassylki-soobschenii,,,,,
36,,Решения для бизнеса,Сбор заявок,vk.com/@-170652532-sbor-zayavok,,,,,
37,,Решения для бизнеса,Обратная связь,vk.com/@-170652532-obratnaya-svyaz,,,,,
38,,Решения для бизнеса,Виджеты,vk.com/@-170652532-vidzhety,,,4,,
