date,theme,name,status,speaker,description,town,link
28.01.2020,1,1Связи с общественностью в социальных сетях 2020,1,Александра Черкас,,Москва,
12.01.2020,1,1Связи с общественностью в социальных сетях 2020,1,Александра Черкас,,Москва,
13.01.2020,1,1Связи с общественностью в социальных сетях 2020,1,Александра Черкас,,Москва,
15.01.2020,1,1Связи с общественностью в социальных сетях 2020,1,Александра Черкас,,Москва,
17.01.2020,1,1Связи с общественностью в социальных сетях 2020,1,Александра Черкас,,Москва,
13.01.2020-15.01.2020,2,ГБУ наше мероприятие,1,Юлия Лазарева,,Москва,
27.02.2020,3,СибФим 2020,1,Вячеслав Прохоров,,Омск,
10.02.2020,2,ГБУ наше мероприятие,1,Юлия Лазарева,,Москва,
12-14 февраля,3,Связи с общественностью в социальных сетях 2020,0,Александра Черкас,,Москва,
29.02.2020,3,День интернет рекламы,1,,,Москва,
2-5 марта 2020,3,Российский Канцелярский Форум,0,Александа Черкас,,Москва,
11.03.2020,3,Битрикс. Территория продаж,1,Диляра Махиянова,,Казань,
12.03.2020,3,Битрикс. Территория продаж,1,Александр Русаков,,Екатеринбург,
19.03.2020,3,Битрикс. Территория продаж,1,Сергей Сабитов,,Новосибирск,
11.03.2020,3,Битрикс. Территория продаж,1,Диляра Махиянова,,Казань,
12.03.2020,3,Битрикс. Территория продаж,1,Александр Русаков,,Екатеринбург,
19.03.2020,3,Битрикс. Территория продаж,1,Сергей Сабитов,,Новосибирск,
11.03.2020,3,Битрикс. Территория продаж,1,Диляра Махиянова,,Казань,
12.03.2020,3,Битрикс. Территория продаж,1,Александр Русаков,,Екатеринбург,
19.03.2020,3,Битрикс. Территория продаж,1,Сергей Сабитов,,Новосибирск,
29 марта-4 апреля 2020,3,Неделя Интернет Маркетинга,0,,,из Москвы,
2-3 апреля 2020,3,Диджитал Оттепель,0,,,Нижний Новгород,
20-21 мая 2020,3,EcomExpo,0,,,Москва,
апрель,3,SMM Ural,0,,,Челябинск,
08.04.2020,3,Битрикс. Территория продаж,1,Диляра Махиянова,,Чебоксары,
16.04.2020,3,Битрикс. Формула Бизнеса,1,Вячеслав Прохоров,,Воронеж,
16.04.2020,3,Битрикс. Территория продаж,1,Александр Русаков,,Челябинск,
18.04.2020,3,CPA Life,1,,,Санкт-Петербург,
24-25 апреля 2019,3,SMM Siberia,0,,,Новосибирск,
25.04.2020,3,Social Media Minsk,1,,,Беларусь,
24-25 мая 2020,3,СПИК 2019,0,,,Санкт-Петербург,
28.05.2020,3,Битрикс. Формула Бизнеса,1,Вячеслав Прохоров,,Хабаровск,
май,3,Московский предпринимательский форум,0,,,Москва,
ноябрь 2020,3,Enternet Expo,0,,,,
